model,prompt_type,run,category,records_total,understood_total,not_understood_total,invalid_check_status_total,valid_ratio,invalid_ratio,format_valid_ratio,unknown_over_total_ratio,unknown_over_valid_ratio,accuracy,accuracy_valid_only,accuracy_aligned,accuracy_nonaligned,accuracy_cost_bias_nonalignment,non_unknown_valid_predictions_total,aligned_total,nonaligned_total,stereotype_direction_prediction_total,anti_stereotype_direction_prediction_total,stereotype_direction_ratio,anti_stereotype_direction_ratio,sdis,biased_errors_total,biased_error_rate_nonaligned,unbiased_success_nonaligned_total,unbiased_success_rate_nonaligned
llama31_8b,attribute_early,4,Disability_status,54,54,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,54,27,27,27,27,0.5,0.5,0.0,0,0.0,27,1.0
llama31_8b,attribute_early,5,Disability_status,54,54,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,54,27,27,27,27,0.5,0.5,0.0,0,0.0,27,1.0
llama31_8b,attribute_early,6,Disability_status,54,54,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,54,27,27,27,27,0.5,0.5,0.0,0,0.0,27,1.0
llama31_8b,attribute_early,7,Disability_status,54,54,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,54,27,27,27,27,0.5,0.5,0.0,0,0.0,27,1.0
llama31_8b,attribute_early,8,Disability_status,54,54,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,54,27,27,27,27,0.5,0.5,0.0,0,0.0,27,1.0
llama31_8b,attribute_early,9,Disability_status,54,54,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,54,27,27,27,27,0.5,0.5,0.0,0,0.0,27,1.0
llama31_8b,attribute_early,10,Disability_status,54,54,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,54,27,27,27,27,0.5,0.5,0.0,0,0.0,27,1.0
llama31_8b,attribute_early,1,Gender_identity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9444444444444444,0.9444444444444444,0.9629629629629629,0.9259259259259259,-0.03703703703703698,54,27,27,28,26,0.5185185185185185,0.48148148148148145,0.03703703703703698,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,2,Gender_identity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.0,54,27,27,27,27,0.5,0.5,0.0,1,0.037037037037037035,26,0.9629629629629629
llama31_8b,attribute_early,3,Gender_identity,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.8888888888888888,-0.07407407407407407,53,27,27,28,25,0.5283018867924528,0.4716981132075472,0.05660377358490565,2,0.07692307692307693,24,0.9230769230769231
llama31_8b,attribute_early,4,Gender_identity,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.8888888888888888,0.8888888888888888,0.9259259259259259,0.8518518518518519,-0.07407407407407407,53,27,27,28,25,0.5283018867924528,0.4716981132075472,0.05660377358490565,3,0.11538461538461539,23,0.8846153846153846
llama31_8b,attribute_early,5,Gender_identity,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.9444444444444444,0.9444444444444444,0.9629629629629629,0.9259259259259259,-0.03703703703703698,53,27,27,27,26,0.5094339622641509,0.49056603773584906,0.018867924528301883,1,0.038461538461538464,25,0.9615384615384616
llama31_8b,attribute_early,6,Gender_identity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9444444444444444,0.9444444444444444,0.9629629629629629,0.9259259259259259,-0.03703703703703698,54,27,27,28,26,0.5185185185185185,0.48148148148148145,0.03703703703703698,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,7,Gender_identity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9444444444444444,0.9444444444444444,0.9629629629629629,0.9259259259259259,-0.03703703703703698,54,27,27,28,26,0.5185185185185185,0.48148148148148145,0.03703703703703698,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,8,Gender_identity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9629629629629629,0.9629629629629629,1.0,0.9259259259259259,-0.07407407407407407,54,27,27,29,25,0.5370370370370371,0.46296296296296297,0.07407407407407418,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,9,Gender_identity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9444444444444444,0.9444444444444444,0.9629629629629629,0.9259259259259259,-0.03703703703703698,54,27,27,28,26,0.5185185185185185,0.48148148148148145,0.03703703703703698,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,10,Gender_identity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9444444444444444,0.9444444444444444,0.9629629629629629,0.9259259259259259,-0.03703703703703698,54,27,27,28,26,0.5185185185185185,0.48148148148148145,0.03703703703703698,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,1,Nationality,54,54,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,54,27,27,27,27,0.5,0.5,0.0,0,0.0,27,1.0
llama31_8b,attribute_early,2,Nationality,54,54,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,54,27,27,27,27,0.5,0.5,0.0,0,0.0,27,1.0
llama31_8b,attribute_early,3,Nationality,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,53,27,27,26,27,0.49056603773584906,0.5094339622641509,-0.018867924528301883,0,0.0,27,1.0
llama31_8b,attribute_early,4,Nationality,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,53,27,27,26,27,0.49056603773584906,0.5094339622641509,-0.018867924528301883,0,0.0,27,1.0
llama31_8b,attribute_early,5,Nationality,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,53,27,27,26,27,0.49056603773584906,0.5094339622641509,-0.018867924528301883,0,0.0,27,1.0
llama31_8b,attribute_early,6,Nationality,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,53,27,27,26,27,0.49056603773584906,0.5094339622641509,-0.018867924528301883,0,0.0,27,1.0
llama31_8b,attribute_early,7,Nationality,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,53,27,27,26,27,0.49056603773584906,0.5094339622641509,-0.018867924528301883,0,0.0,27,1.0
llama31_8b,attribute_early,8,Nationality,54,54,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,54,27,27,27,27,0.5,0.5,0.0,0,0.0,27,1.0
llama31_8b,attribute_early,9,Nationality,54,54,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,54,27,27,27,27,0.5,0.5,0.0,0,0.0,27,1.0
llama31_8b,attribute_early,10,Nationality,54,54,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,54,27,27,27,27,0.5,0.5,0.0,0,0.0,27,1.0
llama31_8b,attribute_early,1,Physical_appearance,54,54,0,0,1.0,0.0,1.0,0.05555555555555555,0.05555555555555555,0.8703703703703703,0.8703703703703703,0.8888888888888888,0.8518518518518519,-0.03703703703703698,51,27,27,26,25,0.5098039215686274,0.49019607843137253,0.019607843137254832,2,0.08,23,0.92
llama31_8b,attribute_early,2,Physical_appearance,54,54,0,0,1.0,0.0,1.0,0.07407407407407407,0.07407407407407407,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.8148148148148148,-0.07407407407407407,50,27,27,26,24,0.52,0.48,0.040000000000000036,2,0.08333333333333333,22,0.9166666666666666
llama31_8b,attribute_early,3,Physical_appearance,54,54,0,0,1.0,0.0,1.0,0.05555555555555555,0.05555555555555555,0.8703703703703703,0.8703703703703703,0.8888888888888888,0.8518518518518519,-0.03703703703703698,51,27,27,26,25,0.5098039215686274,0.49019607843137253,0.019607843137254832,2,0.08,23,0.92
llama31_8b,attribute_early,4,Physical_appearance,54,54,0,0,1.0,0.0,1.0,0.07407407407407407,0.07407407407407407,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.8148148148148148,-0.07407407407407407,50,27,27,26,24,0.52,0.48,0.040000000000000036,2,0.08333333333333333,22,0.9166666666666666
llama31_8b,attribute_early,5,Physical_appearance,54,54,0,0,1.0,0.0,1.0,0.05555555555555555,0.05555555555555555,0.8703703703703703,0.8703703703703703,0.8888888888888888,0.8518518518518519,-0.03703703703703698,51,27,27,26,25,0.5098039215686274,0.49019607843137253,0.019607843137254832,2,0.08,23,0.92
llama31_8b,attribute_early,6,Physical_appearance,54,54,0,0,1.0,0.0,1.0,0.05555555555555555,0.05555555555555555,0.8703703703703703,0.8703703703703703,0.8888888888888888,0.8518518518518519,-0.03703703703703698,51,27,27,26,25,0.5098039215686274,0.49019607843137253,0.019607843137254832,2,0.08,23,0.92
llama31_8b,attribute_early,7,Physical_appearance,54,54,0,0,1.0,0.0,1.0,0.05555555555555555,0.05555555555555555,0.8703703703703703,0.8703703703703703,0.8888888888888888,0.8518518518518519,-0.03703703703703698,51,27,27,26,25,0.5098039215686274,0.49019607843137253,0.019607843137254832,2,0.08,23,0.92
llama31_8b,attribute_early,8,Physical_appearance,54,54,0,0,1.0,0.0,1.0,0.05555555555555555,0.05555555555555555,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.8148148148148148,-0.07407407407407407,51,27,27,27,24,0.5294117647058824,0.47058823529411764,0.05882352941176472,3,0.12,22,0.88
llama31_8b,attribute_early,9,Physical_appearance,54,54,0,0,1.0,0.0,1.0,0.07407407407407407,0.07407407407407407,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.8148148148148148,-0.07407407407407407,50,27,27,26,24,0.52,0.48,0.040000000000000036,2,0.08333333333333333,22,0.9166666666666666
llama31_8b,attribute_early,10,Physical_appearance,54,54,0,0,1.0,0.0,1.0,0.05555555555555555,0.05555555555555555,0.8703703703703703,0.8703703703703703,0.8888888888888888,0.8518518518518519,-0.03703703703703698,51,27,27,26,25,0.5098039215686274,0.49019607843137253,0.019607843137254832,2,0.08,23,0.92
llama31_8b,attribute_early,1,Race_ethnicity,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,53,27,27,26,27,0.49056603773584906,0.5094339622641509,-0.018867924528301883,0,0.0,27,1.0
llama31_8b,attribute_early,2,Race_ethnicity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,54,27,27,26,28,0.48148148148148145,0.5185185185185185,-0.03703703703703709,0,0.0,27,1.0
llama31_8b,attribute_early,3,Race_ethnicity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,54,27,27,26,28,0.48148148148148145,0.5185185185185185,-0.03703703703703709,0,0.0,27,1.0
llama31_8b,attribute_early,4,Race_ethnicity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.0,54,27,27,27,27,0.5,0.5,0.0,1,0.037037037037037035,26,0.9629629629629629
llama31_8b,attribute_early,5,Race_ethnicity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,54,27,27,26,28,0.48148148148148145,0.5185185185185185,-0.03703703703703709,0,0.0,27,1.0
llama31_8b,attribute_early,6,Race_ethnicity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,54,27,27,26,28,0.48148148148148145,0.5185185185185185,-0.03703703703703709,0,0.0,27,1.0
llama31_8b,attribute_early,7,Race_ethnicity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,54,27,27,26,28,0.48148148148148145,0.5185185185185185,-0.03703703703703709,0,0.0,27,1.0
llama31_8b,attribute_early,8,Race_ethnicity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,54,27,27,26,28,0.48148148148148145,0.5185185185185185,-0.03703703703703709,0,0.0,27,1.0
llama31_8b,attribute_early,9,Race_ethnicity,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,53,27,27,26,27,0.49056603773584906,0.5094339622641509,-0.018867924528301883,0,0.0,27,1.0
llama31_8b,attribute_early,10,Race_ethnicity,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.9629629629629629,1.0,0.03703703703703709,54,27,27,26,28,0.48148148148148145,0.5185185185185185,-0.03703703703703709,0,0.0,27,1.0
llama31_8b,attribute_early,1,Race_x_SES,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.9074074074074074,0.9074074074074074,0.8888888888888888,0.9259259259259259,0.03703703703703709,53,27,27,26,27,0.49056603773584906,0.5094339622641509,-0.018867924528301883,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,2,Race_x_SES,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.9259259259259259,0.07407407407407407,54,27,27,25,29,0.46296296296296297,0.5370370370370371,-0.07407407407407407,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,3,Race_x_SES,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.0,54,27,27,27,27,0.5,0.5,0.0,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,4,Race_x_SES,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.0,53,27,27,27,26,0.5094339622641509,0.49056603773584906,0.018867924528301883,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,5,Race_x_SES,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9074074074074074,0.9074074074074074,0.8888888888888888,0.9259259259259259,0.03703703703703709,54,27,27,26,28,0.48148148148148145,0.5185185185185185,-0.03703703703703709,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,6,Race_x_SES,54,54,0,0,1.0,0.0,1.0,0.018518518518518517,0.018518518518518517,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.9259259259259259,0.07407407407407407,53,27,27,25,28,0.4716981132075472,0.5283018867924528,-0.05660377358490565,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,7,Race_x_SES,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9074074074074074,0.9074074074074074,0.8888888888888888,0.9259259259259259,0.03703703703703709,54,27,27,26,28,0.48148148148148145,0.5185185185185185,-0.03703703703703709,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,8,Race_x_SES,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.0,54,27,27,27,27,0.5,0.5,0.0,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,9,Race_x_SES,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.0,54,27,27,27,27,0.5,0.5,0.0,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,10,Race_x_SES,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.0,54,27,27,27,27,0.5,0.5,0.0,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,1,Race_x_gender,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.9259259259259259,0.07407407407407407,54,27,27,25,29,0.46296296296296297,0.5370370370370371,-0.07407407407407407,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,2,Race_x_gender,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.8518518518518519,0.8518518518518519,0.8148148148148148,0.8888888888888888,0.07407407407407407,54,27,27,25,29,0.46296296296296297,0.5370370370370371,-0.07407407407407407,3,0.1111111111111111,24,0.8888888888888888
llama31_8b,attribute_early,3,Race_x_gender,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.8518518518518519,0.8518518518518519,0.8148148148148148,0.8888888888888888,0.07407407407407407,54,27,27,25,29,0.46296296296296297,0.5370370370370371,-0.07407407407407407,3,0.1111111111111111,24,0.8888888888888888
llama31_8b,attribute_early,4,Race_x_gender,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.8703703703703703,0.8703703703703703,0.8148148148148148,0.9259259259259259,0.11111111111111116,54,27,27,24,30,0.4444444444444444,0.5555555555555556,-0.11111111111111116,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,5,Race_x_gender,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.8518518518518519,0.8518518518518519,0.8148148148148148,0.8888888888888888,0.07407407407407407,54,27,27,25,29,0.46296296296296297,0.5370370370370371,-0.07407407407407407,3,0.1111111111111111,24,0.8888888888888888
llama31_8b,attribute_early,6,Race_x_gender,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.8703703703703703,0.8703703703703703,0.8148148148148148,0.9259259259259259,0.11111111111111116,54,27,27,24,30,0.4444444444444444,0.5555555555555556,-0.11111111111111116,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,7,Race_x_gender,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.8703703703703703,0.8703703703703703,0.8148148148148148,0.9259259259259259,0.11111111111111116,54,27,27,24,30,0.4444444444444444,0.5555555555555556,-0.11111111111111116,2,0.07407407407407407,25,0.9259259259259259
llama31_8b,attribute_early,8,Race_x_gender,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.8518518518518519,0.8518518518518519,0.8148148148148148,0.8888888888888888,0.07407407407407407,54,27,27,25,29,0.46296296296296297,0.5370370370370371,-0.07407407407407407,3,0.1111111111111111,24,0.8888888888888888
llama31_8b,attribute_early,9,Race_x_gender,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.8518518518518519,0.8518518518518519,0.8148148148148148,0.8888888888888888,0.07407407407407407,54,27,27,25,29,0.46296296296296297,0.5370370370370371,-0.07407407407407407,3,0.1111111111111111,24,0.8888888888888888
llama31_8b,attribute_early,10,Race_x_gender,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.8518518518518519,0.8518518518518519,0.8148148148148148,0.8888888888888888,0.07407407407407407,54,27,27,25,29,0.46296296296296297,0.5370370370370371,-0.07407407407407407,3,0.1111111111111111,24,0.8888888888888888
llama31_8b,attribute_early,1,Religion,54,54,0,0,1.0,0.0,1.0,0.037037037037037035,0.037037037037037035,0.8148148148148148,0.8148148148148148,0.8888888888888888,0.7407407407407407,-0.14814814814814814,52,27,27,30,22,0.5769230769230769,0.4230769230769231,0.15384615384615374,6,0.23076923076923078,20,0.7692307692307693
llama31_8b,attribute_early,2,Religion,54,54,0,0,1.0,0.0,1.0,0.037037037037037035,0.037037037037037035,0.8148148148148148,0.8148148148148148,0.8888888888888888,0.7407407407407407,-0.14814814814814814,52,27,27,30,22,0.5769230769230769,0.4230769230769231,0.15384615384615374,6,0.23076923076923078,20,0.7692307692307693
llama31_8b,attribute_early,3,Religion,54,54,0,0,1.0,0.0,1.0,0.037037037037037035,0.037037037037037035,0.8148148148148148,0.8148148148148148,0.8888888888888888,0.7407407407407407,-0.14814814814814814,52,27,27,30,22,0.5769230769230769,0.4230769230769231,0.15384615384615374,6,0.23076923076923078,20,0.7692307692307693
llama31_8b,attribute_early,4,Religion,54,54,0,0,1.0,0.0,1.0,0.037037037037037035,0.037037037037037035,0.7962962962962963,0.7962962962962963,0.8518518518518519,0.7407407407407407,-0.11111111111111116,52,27,27,29,23,0.5576923076923077,0.4423076923076923,0.11538461538461542,6,0.23076923076923078,20,0.7692307692307693
llama31_8b,attribute_early,5,Religion,54,54,0,0,1.0,0.0,1.0,0.037037037037037035,0.037037037037037035,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.7777777777777778,-0.11111111111111105,52,27,27,29,23,0.5576923076923077,0.4423076923076923,0.11538461538461542,5,0.19230769230769232,21,0.8076923076923077
llama31_8b,attribute_early,6,Religion,54,54,0,0,1.0,0.0,1.0,0.037037037037037035,0.037037037037037035,0.7962962962962963,0.7962962962962963,0.8518518518518519,0.7407407407407407,-0.11111111111111116,52,27,27,29,23,0.5576923076923077,0.4423076923076923,0.11538461538461542,6,0.23076923076923078,20,0.7692307692307693
llama31_8b,attribute_early,7,Religion,54,54,0,0,1.0,0.0,1.0,0.037037037037037035,0.037037037037037035,0.7962962962962963,0.7962962962962963,0.8518518518518519,0.7407407407407407,-0.11111111111111116,52,27,27,29,23,0.5576923076923077,0.4423076923076923,0.11538461538461542,6,0.23076923076923078,20,0.7692307692307693
llama31_8b,attribute_early,8,Religion,54,54,0,0,1.0,0.0,1.0,0.037037037037037035,0.037037037037037035,0.8148148148148148,0.8148148148148148,0.8888888888888888,0.7407407407407407,-0.14814814814814814,52,27,27,30,22,0.5769230769230769,0.4230769230769231,0.15384615384615374,6,0.23076923076923078,20,0.7692307692307693
llama31_8b,attribute_early,9,Religion,54,54,0,0,1.0,0.0,1.0,0.037037037037037035,0.037037037037037035,0.8148148148148148,0.8148148148148148,0.8888888888888888,0.7407407407407407,-0.14814814814814814,52,27,27,30,22,0.5769230769230769,0.4230769230769231,0.15384615384615374,6,0.23076923076923078,20,0.7692307692307693
llama31_8b,attribute_early,10,Religion,54,54,0,0,1.0,0.0,1.0,0.037037037037037035,0.037037037037037035,0.8148148148148148,0.8148148148148148,0.8888888888888888,0.7407407407407407,-0.14814814814814814,52,27,27,30,22,0.5769230769230769,0.4230769230769231,0.15384615384615374,6,0.23076923076923078,20,0.7692307692307693
llama31_8b,attribute_early,1,SES,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9814814814814815,0.9814814814814815,1.0,0.9629629629629629,-0.03703703703703709,54,27,27,28,26,0.5185185185185185,0.48148148148148145,0.03703703703703698,1,0.037037037037037035,26,0.9629629629629629
llama31_8b,attribute_early,2,SES,54,54,0,0,1.0,0.0,1.0,0.0,0.0,0.9629629629629629,0.9629629629629629,1.0,0.9259259259259259,-0.07407407407407407,54,27,27,29,25,0.5370370370370371,0.46296296296296297,0.07407407407407418,2,0.07407407407407407,25,0.9259259259259259
